"Statistic Label","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Value of Sales","2021 March","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","87.1"
"Value of Sales","2021 April","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","31.5"
"Value of Sales","2021 April","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","44.7"
"Value of Sales","2021 April","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","8.8"
"Value of Sales","2021 April","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","60.5"
"Value of Sales","2021 April","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","94.8"
"Value of Sales","2021 April","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","235.3"
"Value of Sales","2021 April","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","39.4"
"Value of Sales","2021 April","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","73.9"
"Value of Sales","2021 May","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","31.1"
"Value of Sales","2021 May","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","32.8"
"Value of Sales","2021 May","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","1.9"
"Value of Sales","2021 May","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","99.2"
"Value of Sales","2021 May","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","80"
"Value of Sales","2021 May","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","228"
"Value of Sales","2021 May","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","36"
"Value of Sales","2021 May","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","68.3"
"Value of Sales","2021 June","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","43.1"
"Value of Sales","2021 June","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","39.1"
"Value of Sales","2021 June","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","7.7"
"Value of Sales","2021 June","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","87.9"
"Value of Sales","2021 June","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","125"
"Value of Sales","2021 June","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","294"
"Value of Sales","2021 June","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","29.3"
"Value of Sales","2021 June","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","76.9"
"Value of Sales","2021 July","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","40"
"Value of Sales","2021 July","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","53.9"
"Value of Sales","2021 July","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","5.9"
"Value of Sales","2021 July","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","32.6"
"Value of Sales","2021 July","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","144.1"
"Value of Sales","2021 July","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","320.3"
"Value of Sales","2021 July","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","44.9"
"Value of Sales","2021 July","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","93.7"
"Value of Sales","2021 August","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","38.1"
"Value of Sales","2021 August","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","45.2"
"Value of Sales","2021 August","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","2"
"Value of Sales","2021 August","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","19.4"
"Value of Sales","2021 August","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","151.1"
"Value of Sales","2021 August","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","310.7"
"Value of Sales","2021 August","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","35.9"
"Value of Sales","2021 August","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","98.4"
"Value of Sales","2021 September","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","46.4"
"Value of Sales","2021 September","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","50.4"
"Value of Sales","2021 September","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","2.6"
"Value of Sales","2021 September","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","103.6"
"Value of Sales","2021 September","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","147.4"
"Value of Sales","2021 September","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","369.3"
"Value of Sales","2021 September","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","55.2"
"Value of Sales","2021 September","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","90.8"
"Value of Sales","2021 October","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","38"
"Value of Sales","2021 October","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","43.7"
"Value of Sales","2021 October","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","6.8"
"Value of Sales","2021 October","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","13.8"
"Value of Sales","2021 October","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","147.5"
"Value of Sales","2021 October","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","378.6"
"Value of Sales","2021 October","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","45.9"
"Value of Sales","2021 October","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","69.8"
"Value of Sales","2021 November","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","53.7"
"Value of Sales","2021 November","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","57.4"
"Value of Sales","2021 November","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","5.8"
"Value of Sales","2021 November","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","11.4"
"Value of Sales","2021 November","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","156.3"
"Value of Sales","2021 November","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","360.6"
"Value of Sales","2021 November","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","48.3"
"Value of Sales","2021 November","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","77.5"
"Value of Sales","2021 December","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","63.2"
"Value of Sales","2021 December","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","71.4"
"Value of Sales","2021 December","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","14.7"
"Value of Sales","2021 December","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","279.1"
